sensor,ts_ns,x,y,z,w
acc,927624214949531,-0.28491,1.1252748,9.828198,0.0
gyr,927624214949531,0.02076942,-0.07574729,0.010995574,0.0
acc,927624216927720,-0.29448682,1.1180922,9.859323,0.0
gyr,927624216949414,0.023823744,-0.076358154,0.012217305,0.0
acc,927624218949726,-0.2873042,1.1133038,9.878476,0.0
rotVec,927624218949726,0.014107342,-0.05903546,-0.9970112,0.047797214
linAcc,927624218949726,-0.0667831,-0.05434084,0.14408493,0.0
gyr,927624218949726,0.027488936,-0.077579886,0.009773844,0.0
acc,927624220949062,-0.2777274,1.115698,9.883265,0.0
gyr,927624220949062,0.035430185,-0.07574729,0.009773844,0.0
acc,927624222948398,-0.2825158,1.1372458,9.892841,0.0
gyr,927624222948398,0.03970624,-0.07696902,0.008552114,0.0
acc,927624224948398,-0.2873042,1.1372458,9.902418,0.0
gyr,927624224948398,0.0421497,-0.07513642,0.009162978,0.0
acc,927624226948593,-0.28491,1.1372458,9.911995,0.0
rotVec,927624226948593,0.013865058,-0.059166327,-0.99697787,0.04839701
linAcc,927624226948593,-0.06995444,-0.032855153,0.17777443,0.0
gyr,927624226948593,0.04642576,-0.07452556,0.008552114,0.0
acc,927624228942799,-0.2896984,1.1372458,9.916783,0.0
