[02:41:50] ============================================================
[02:41:50] TLIO ResNet1D  (ResMLP128 과 동일 환경)
[02:41:50] 출력: out_resnet_small
[02:41:50] 디바이스: cuda
[02:41:50] 데이터셋 로딩... (Oxford + TLIO golden 증강)
[02:42:19] Train samples: 1,309,769 | Val samples: 45,112
[02:42:19] ResNet1D (small) 파라미터 수: 460,490
[02:42:19] [two-stage] Stage 1: MSE (epoch 1~30)
[02:42:21] 총 100 epoch
[02:43:34]   Epoch 001 [5300/10232]  reg=0.1172  rmse=0.5996
[02:43:34]   Epoch 001 [5350/10232]  reg=0.0830  rmse=0.5993
[02:43:35]   Epoch 001 [5400/10232]  reg=0.0792  rmse=0.5990
[02:43:35]   Epoch 001 [5450/10232]  reg=0.0890  rmse=0.5986
[02:43:36]   Epoch 001 [5500/10232]  reg=0.0851  rmse=0.5982
[02:43:36]   Epoch 001 [5550/10232]  reg=0.0839  rmse=0.5979
[02:43:37]   Epoch 001 [5600/10232]  reg=0.0706  rmse=0.5974
[02:43:38]   Epoch 001 [5650/10232]  reg=0.0712  rmse=0.5970
[02:43:38]   Epoch 001 [5700/10232]  reg=0.0984  rmse=0.5966
[02:43:39]   Epoch 001 [5750/10232]  reg=0.1175  rmse=0.5963
[02:43:39]   Epoch 001 [5800/10232]  reg=0.1195  rmse=0.5958
[02:43:40]   Epoch 001 [5850/10232]  reg=0.1510  rmse=0.5955
[02:43:40]   Epoch 001 [5900/10232]  reg=0.1100  rmse=0.5950
[02:43:41]   Epoch 001 [5950/10232]  reg=0.1230  rmse=0.5947
[02:43:41]   Epoch 001 [6000/10232]  reg=0.1260  rmse=0.5942
[02:43:42]   Epoch 001 [6050/10232]  reg=0.0723  rmse=0.5937
[02:43:43]   Epoch 001 [6100/10232]  reg=0.0890  rmse=0.5933
[02:43:43]   Epoch 001 [6150/10232]  reg=0.0817  rmse=0.5928
[02:43:44]   Epoch 001 [6200/10232]  reg=0.0815  rmse=0.5923
[02:43:44]   Epoch 001 [6250/10232]  reg=0.0893  rmse=0.5918
